Reg_No,Variation Number,Service Number,Current Traffic Area,Lic_No,Discs in Possession,AUTHDISCS,Granted_Date,Exp_Date,Description,Op_ID,Op_Name,trading_name,Address,start_point,finish_point,via,effective_date,received_date,end_date,Service_Type_Other_Details,Licence Status,Registration Status,Pub_Text,Service_Type_Description,Short Notice,Subsidies_Description,Subsidies_Details,Auth_Description,TAO Covered BY Area,Registration Code
PF0000014/11,0,WIVENHOE SERVICE,F,PF0000014,23,23,01/04/1995,31/03/2015,Standard International,16347,CEDRIC GARAGES (WIVENHOE) LTD,CEDRIC COACHES INTERNATIONAL,"WIVENHOE, THE AVENUE, COLCHESTER, CO7 9AH, GB",WIVENHOE - ALL STOPS,BRIGHTLINGSEA - COLNE SCHOOL,ALRESFORD,10/09/2002,10/09/2002,,SCHOOL DAYS ONLY 1 RETURN JOURNEY PER DAY.,Valid,Registered,"From: WIVENHOE - ALL STOPS
To: BRIGHTLINGSEA - COLNE SCHOOL
Via: ALRESFORD
Name or No: WIVENHOE SERVICE
Service Type: School or Works
Effective Date: 10-Sep-2002
Other Details: SCHOOL DAYS ONLY 1 RETURN JOURNEY PER DAY.",School or Works,Yes,No,,Essex County Council,East of England,11
PF0000024/2,3,0 05,F,PF0000024,30,30,01/09/1993,31/07/2022,Standard National,16352,CONSTABLE COACHES LTD,,"IPSWICH ROAD, THE COACH DEPOT, HADLEIGH, IPSWICH, IP7 6BG, GB",Sudbury,Sudbury,,09/09/2007,09/07/2007,,,Valid,Registered,Operating between Sudbury and Sudbury given service number 0 05 effective from 09-Sep-2007. To amend Route and Timetable.,Normal Stopping,NO,No,,Suffolk County Council,East of England,2
PF0000024/6,0,221,F,PF0000024,30,30,01/09/1993,31/07/2022,Standard National,16352,CONSTABLE COACHES LTD,,"IPSWICH ROAD, THE COACH DEPOT, HADLEIGH, IPSWICH, IP7 6BG, GB",Ipswich,Sudbury  ,,08/04/2002,,,,Valid,Registered,,,NO,No,,,East of England,6
PF0000024/22,0,111,F,PF0000024,30,30,01/09/1993,31/07/2022,Standard National,16352,CONSTABLE COACHES LTD,,"IPSWICH ROAD, THE COACH DEPOT, HADLEIGH, IPSWICH, IP7 6BG, GB","Bildeston, Market Place","Ipswich, Old Cattle Market Bus Station",,28/02/2011,14/12/2010,,Mondays to Saturdays except public holidays.,Valid,Registered,"From: Bildeston, Market Place
To: Ipswich, Old Cattle Market Bus Station
Via: 
Name or No: 111
Service Type: Limited Stop
Effective Date: 28-Feb-2011
Other Details: Mondays to Saturdays except public holidays.",Limited Stop,NO,No,,Suffolk County Council,East of England,22
PF0000032/1,0,CMO 555,F,PF0000032,24,24,20/03/1995,29/02/2020,Standard International,16354,DONS COACHES (DUNMOW) LTD,,"PARSONAGE DOWNS, DUNMOW, CM6 2AT, GB",Mole Hill Green,Dunmow,,08/04/2002,,,,Valid,Registered,,,NO,No,,,East of England,1
PF0000032/2,0,CMO 558,F,PF0000032,24,24,20/03/1995,29/02/2020,Standard International,16354,DONS COACHES (DUNMOW) LTD,,"PARSONAGE DOWNS, DUNMOW, CM6 2AT, GB",Finchingfield,Dunmow,,08/04/2002,,,,Valid,Registered,,,NO,No,,,East of England,2
PF0000032/3,0,CMO 564,F,PF0000032,24,24,20/03/1995,29/02/2020,Standard International,16354,DONS COACHES (DUNMOW) LTD,,"PARSONAGE DOWNS, DUNMOW, CM6 2AT, GB",Hartford End,Dunmow,,08/04/2002,,,,Valid,Registered,,,NO,No,,,East of England,3
PF0000032/4,0,CMO 566,F,PF0000032,24,24,20/03/1995,29/02/2020,Standard International,16354,DONS COACHES (DUNMOW) LTD,,"PARSONAGE DOWNS, DUNMOW, CM6 2AT, GB",Margaret Roding,Dunmow,,08/04/2002,,,,Valid,Registered,,,NO,No,,,East of England,4
PF0000032/5,0,CMO 568,F,PF0000032,24,24,20/03/1995,29/02/2020,Standard International,16354,DONS COACHES (DUNMOW) LTD,,"PARSONAGE DOWNS, DUNMOW, CM6 2AT, GB",Abbess Roding,Dunmow,,08/04/2002,,,,Valid,Registered,,,NO,No,,,East of England,5
PF0000032/6,0,CMO 556,F,PF0000032,24,24,20/03/1995,29/02/2020,Standard International,16354,DONS COACHES (DUNMOW) LTD,,"PARSONAGE DOWNS, DUNMOW, CM6 2AT, GB",Thaxted,Duton Hill,,08/04/2002,,,,Valid,Registered,,,NO,No,,,East of England,6
PF0000032/7,0,CMO 557A,F,PF0000032,24,24,20/03/1995,29/02/2020,Standard International,16354,DONS COACHES (DUNMOW) LTD,,"PARSONAGE DOWNS, DUNMOW, CM6 2AT, GB",Little Bardfield,Dunmow,,08/04/2002,,,,Valid,Registered,,,NO,No,,,East of England,7
PF0000032/8,0,CMO 557B,F,PF0000032,24,24,20/03/1995,29/02/2020,Standard International,16354,DONS COACHES (DUNMOW) LTD,,"PARSONAGE DOWNS, DUNMOW, CM6 2AT, GB",Stanbrook,Dunmow,,08/04/2002,,,,Valid,Registered,,,NO,No,,,East of England,8
PF0000032/9,0,CM0232,F,PF0000032,24,24,20/03/1995,29/02/2020,Standard International,16354,DONS COACHES (DUNMOW) LTD,,"PARSONAGE DOWNS, DUNMOW, CM6 2AT, GB",FELSTED,HELENA ROMANES SCHOOL,LITTLE DUNMOW,14/02/2003,14/02/2003,,SCHOOLDAYS ONLY,Valid,Registered,"From: FELSTED
To: HELENA ROMANES SCHOOL
Via: LITTLE DUNMOW
Name or No: CM0232
Service Type: School or Works
Effective Date: 14-Feb-2003
Other Details: SCHOOLDAYS ONLY",School or Works,Yes,Yes,,Essex County Council,East of England,9
PF0000032/10,0,CM1207,F,PF0000032,24,24,20/03/1995,29/02/2020,Standard International,16354,DONS COACHES (DUNMOW) LTD,,"PARSONAGE DOWNS, DUNMOW, CM6 2AT, GB",TAKELEY,HELENA ROMANES SCHOOL,TAKELEY AND GREAT DUNMOW,14/02/2003,14/02/2003,,SCHOOLDAYS ONLY,Valid,Registered,"From: TAKELEY
To: HELENA ROMANES SCHOOL
Via: TAKELEY AND GREAT DUNMOW
Name or No: CM1207
Service Type: Rural Bus Service
Effective Date: 14-Feb-2003
Other Details: SCHOOLDAYS ONLY",Rural Bus Service,Yes,Yes,ESSEX CC,Essex County Council,East of England,10
PF0000032/11,0,MM0203,F,PF0000032,24,24,20/03/1995,29/02/2020,Standard International,16354,DONS COACHES (DUNMOW) LTD,,"PARSONAGE DOWNS, DUNMOW, CM6 2AT, GB",Ashdon,Saffron Walden County High School,,02/09/2009,31/07/2009,,"Mondays to Fridays, school days only.",Valid,Registered,"From: Ashdon
To: Saffron Walden County High School
Via: 
Name or No: MM0203
Service Type: School or Works
Effective Date: 02-Sep-2009
Other Details: Mondays to Fridays, school days only.",School or Works,Yes,Yes,Essex CC,Essex County Council,East of England,11
PF0000032/12,0,MM0139,F,PF0000032,24,24,20/03/1995,29/02/2020,Standard International,16354,DONS COACHES (DUNMOW) LTD,,"PARSONAGE DOWNS, DUNMOW, CM6 2AT, GB",Causeway End Felsted Essex,Helena Remanes School Essex,"Hartford End, Ford End, North End, Barnston",02/09/2009,03/08/2009,,Monday to Friday,Valid,Registered,"From: Causeway End Felsted Essex
To: Helena Remanes School Essex
Via: Hartford End, Ford End, North End, Barnston
Name or No: MM0139
Service Type: School or Works
Effective Date: 02-Sep-2009
Other Details: Monday to Friday",School or Works,Yes,Yes,Essex CC,Essex County Council,East of England,12
PF0000032/13,0,M0315,F,PF0000032,24,24,20/03/1995,29/02/2020,Standard International,16354,DONS COACHES (DUNMOW) LTD,,"PARSONAGE DOWNS, DUNMOW, CM6 2AT, GB",Thaxted High Street,Helena Romanes School Essex,"Monk Street Thaxted, Gt Easton",10/11/2009,10/11/2009,,monday to Friday,Valid,Registered,"From: Thaxted High Street
To: Helena Romanes School Essex
Via: Monk Street Thaxted, Gt Easton
Name or No: M0315
Service Type: School or Works
Effective Date: 10-Nov-2009
Other Details: monday to Friday",School or Works,Yes,Yes,Essex Cc,Essex County Council,East of England,13
PF0000032/14,0,Bus A,F,PF0000032,24,24,20/03/1995,29/02/2020,Standard International,16354,DONS COACHES (DUNMOW) LTD,,"PARSONAGE DOWNS, DUNMOW, CM6 2AT, GB",Little Bardfield,Helena Romanes School Essex,Cutlers Green,13/01/2010,13/01/2010,,"Mon - Fri
Within Essex County Council school days and times",Valid,Registered,"From: Little Bardfield
To: Helena Romanes School Essex
Via: Cutlers Green
Name or No: Bus A
Service Type: School or Works
Effective Date: 13-Jan-2010
Other Details: Mon - Fri
Within Essex County Council school days and times",School or Works,Yes,Yes,Essex CC,Essex County Council,East of England,14
PF0000032/15,0,Bus i,F,PF0000032,24,24,20/03/1995,29/02/2020,Standard International,16354,DONS COACHES (DUNMOW) LTD,,"PARSONAGE DOWNS, DUNMOW, CM6 2AT, GB",Elsenham High Street,Helena Romans School Essex,Mole Hill Green,13/01/2010,13/01/2010,,"Mon - Fri
Within Essex County Council
School days and times",Valid,Registered,"From: Elsenham High Street
To: Helena Romans School Essex
Via: Mole Hill Green
Name or No: Bus i
Service Type: School or Works
Effective Date: 13-Jan-2010
Other Details: Mon - Fri
Within Essex County Council
School days and times",School or Works,Yes,Yes,Essex CC,Essex County Council,East of England,15
PF0000032/17,0,Bus F,F,PF0000032,24,24,20/03/1995,29/02/2020,Standard International,16354,DONS COACHES (DUNMOW) LTD,,"PARSONAGE DOWNS, DUNMOW, CM6 2AT, GB","Margaret Roding, The Gossetts",Helena Romanes School,,02/09/2010,31/08/2010,,School days.,Valid,Registered,"From: Margaret Roding, The Gossetts
To: Helena Romanes School
Via: 
Name or No: Bus F
Service Type: School or Works
Effective Date: 02-Sep-2010
Other Details: School days.",School or Works,Yes,Yes,Essex CC,Essex County Council,East of England,17
PF0000032/18,0,Bus O,F,PF0000032,24,24,20/03/1995,29/02/2020,Standard International,16354,DONS COACHES (DUNMOW) LTD,,"PARSONAGE DOWNS, DUNMOW, CM6 2AT, GB","Good Easton, Wares Road","Great Dunmow, Helena Romanes School",,02/09/2010,31/08/2010,,School days.,Valid,Registered,"From: Good Easton, Wares Road
To: Great Dunmow, Helena Romanes School
Via: 
Name or No: Bus O
Service Type: School or Works
Effective Date: 02-Sep-2010
Other Details: School days.",School or Works,Yes,Yes,Essex CC,Essex County Council,East of England,18
PF0000032/19,0,NM0203,F,PF0000032,24,24,20/03/1995,29/02/2020,Standard International,16354,DONS COACHES (DUNMOW) LTD,,"PARSONAGE DOWNS, DUNMOW, CM6 2AT, GB",Ashdon,Saffron Walden County High School,,02/09/2010,31/08/2010,,School days.,Valid,Registered,"From: Ashdon
To: Saffron Walden County High School
Via: 
Name or No: NM0203
Service Type: School or Works
Effective Date: 02-Sep-2010
Other Details: School days.",School or Works,Yes,Yes,Essex CC,Essex County Council,East of England,19
PF0000032/20,0,Bus E,F,PF0000032,24,24,20/03/1995,29/02/2020,Standard International,16354,DONS COACHES (DUNMOW) LTD,,"PARSONAGE DOWNS, DUNMOW, CM6 2AT, GB",Little Canfield,Helena Romanes School,,02/09/2010,31/08/2010,,School days,Valid,Registered,"From: Little Canfield
To: Helena Romanes School
Via: 
Name or No: Bus E
Service Type: School or Works
Effective Date: 02-Sep-2010
Other Details: School days",School or Works,Yes,Yes,Essex CC,Essex County Council,East of England,20
PF0000032/21,0,Bus N,F,PF0000032,24,24,20/03/1995,29/02/2020,Standard International,16354,DONS COACHES (DUNMOW) LTD,,"PARSONAGE DOWNS, DUNMOW, CM6 2AT, GB","Little Dunmow, Baynard Avenue","Great Dunmow, Helena Romanes School",,02/09/2010,31/08/2010,,School days.,Valid,Registered,"From: Little Dunmow, Baynard Avenue
To: Great Dunmow, Helena Romanes School
Via: 
Name or No: Bus N
Service Type: School or Works
Effective Date: 02-Sep-2010
Other Details: School days.",School or Works,Yes,Yes,Essex CC,Essex County Council,East of England,21
PF0000032/22,0,Bus B,F,PF0000032,24,24,20/03/1995,29/02/2020,Standard International,16354,DONS COACHES (DUNMOW) LTD,,"PARSONAGE DOWNS, DUNMOW, CM6 2AT, GB","Braintree, Tortoishell Way","Great Dunmow,Helen Romares School",,02/09/2010,31/08/2010,,School days.,Valid,Registered,"From: Braintree, Tortoishell Way
To: Great Dunmow,Helen Romares School
Via: 
Name or No: Bus B
Service Type: School or Works
Effective Date: 02-Sep-2010
Other Details: School days.",School or Works,Yes,Yes,Essex CC,Essex County Council,East of England,22
PF0000032/23,1,Bus M,F,PF0000032,24,24,20/03/1995,29/02/2020,Standard International,16354,DONS COACHES (DUNMOW) LTD,,"PARSONAGE DOWNS, DUNMOW, CM6 2AT, GB","Felsted, Gransmore Green","Great Dunmow, Helena Romanes School",,25/09/2013,25/09/2013,,Vary route/timetable/stopping places.,Valid,Registered,"Operating between Felsted, Gransmore Green and Great Dunmow, Helena Romanes School given service number Bus M effective from 25-Sep-2013. To amend Route and Timetable.",School or Works,Yes,Yes,Essex CC,Essex County Council,East of England,23
PF0000032/24,0,Bus C,F,PF0000032,24,24,20/03/1995,29/02/2020,Standard International,16354,DONS COACHES (DUNMOW) LTD,,"PARSONAGE DOWNS, DUNMOW, CM6 2AT, GB","Leaden Roding, New House Farm","Great Dunmow, Helena Romanes School",,02/09/2010,31/08/2010,,School days.,Valid,Registered,"From: Leaden Roding, New House Farm
To: Great Dunmow, Helena Romanes School
Via: 
Name or No: Bus C
Service Type: School or Works
Effective Date: 02-Sep-2010
Other Details: School days.",School or Works,Yes,Yes,Essex CC,Essex County Council,East of England,24
PF0000032/25,0,Bus Q,F,PF0000032,24,24,20/03/1995,29/02/2020,Standard International,16354,DONS COACHES (DUNMOW) LTD,,"PARSONAGE DOWNS, DUNMOW, CM6 2AT, GB","Finchigfield, The Fox Bus Stop","Great Dunmow, Helena Romanes School",,02/09/2010,31/08/2010,,School days,Valid,Registered,"From: Finchigfield, The Fox Bus Stop
To: Great Dunmow, Helena Romanes School
Via: 
Name or No: Bus Q
Service Type: School or Works
Effective Date: 02-Sep-2010
Other Details: School days",School or Works,Yes,Yes,Essex CC,Essex County Council,East of England,25
PF0000044/21,13,384,F,PF0000044,55,55,01/09/1992,31/08/2022,Standard International,16359,GALLOWAY EUROPEAN COACHLINES LTD,,"MENDLESHAM, DENTERS HILL, STOWMARKET, IP14 5RR, GB",Stowupland,Risby,"Stowmarket, Woolpit & Bury St Edmunds",09/10/2017,14/08/2017,,variation to timetable and route description,Valid,Registered,Operating between Stowupland and Risby given service number 384 effective from 09 October 2017. To amend Timetable.,Normal Stopping,NO,Yes,Suffolk CC,Suffolk County Council,East of England,21
PF0000044/32,2,87,F,PF0000044,55,55,01/09/1992,31/08/2022,Standard International,16359,GALLOWAY EUROPEAN COACHLINES LTD,,"MENDLESHAM, DENTERS HILL, STOWMARKET, IP14 5RR, GB",Stowmarket,Ipswich,,20/11/2016,21/09/2016,,Vary timetable,Valid,Registered,Operating between Stowmarket and Ipswich given service number 87 effective from 20-Nov-2016. To amend Timetable.,Normal Stopping,NO,No,,Suffolk County Council,East of England,32
PF0000044/37,0,118,F,PF0000044,55,55,01/09/1992,31/08/2022,Standard International,16359,GALLOWAY EUROPEAN COACHLINES LTD,,"MENDLESHAM, DENTERS HILL, STOWMARKET, IP14 5RR, GB",Eye,Ipswich,,15/03/2012,15/03/2012,,Mondays to Saturdays except bank holidays.,Valid,Registered,"From: Eye
To: Ipswich
Via: 
Name or No: 118/119
Service Type: Normal Stopping
Effective Date: 15-Mar-2012
Other Details: Mondays to Saturdays except bank holidays.",Normal Stopping,Yes,In Part,Suffolk CC,Suffolk County Council,East of England,37
PF0000044/38,2,118,F,PF0000044,55,55,01/09/1992,31/08/2022,Standard International,16359,GALLOWAY EUROPEAN COACHLINES LTD,,"MENDLESHAM, DENTERS HILL, STOWMARKET, IP14 5RR, GB",Stradbroke,Ipswich,,26/08/2014,02/07/2014,,Variation to timetable,Valid,Registered,Operating between Stradbroke and Ipswich given service number 118/119 effective from 26-Aug-2014. To amend Timetable.,Normal Stopping,Yes,Yes,Suffolk CC,Suffolk County Council,East of England,38
PF0000044/39,4,456,F,PF0000044,55,55,01/09/1992,31/08/2022,Standard International,16359,GALLOWAY EUROPEAN COACHLINES LTD,,"MENDLESHAM, DENTERS HILL, STOWMARKET, IP14 5RR, GB","Stowmarket, Bury Street",Diss Bus Station,,28/08/2017,07/08/2017,,Variation to route and bus stopping places only,Valid,Registered,"Operating between Stowmarket, Bury Street and Diss Bus Station given service number 456 / 457 / 459 effective from 28 August 2017. To amend Route.",Normal Stopping,Yes,Yes,Suffolk,Norfolk County Council,East of England,39
PF0000044/39,4,456,F,PF0000044,55,55,01/09/1992,31/08/2022,Standard International,16359,GALLOWAY EUROPEAN COACHLINES LTD,,"MENDLESHAM, DENTERS HILL, STOWMARKET, IP14 5RR, GB","Stowmarket, Bury Street",Diss Bus Station,,28/08/2017,07/08/2017,,Variation to route and bus stopping places only,Valid,Registered,"Operating between Stowmarket, Bury Street and Diss Bus Station given service number 456 / 457 / 459 effective from 28 August 2017. To amend Route.",Normal Stopping,Yes,Yes,Suffolk,Suffolk County Council,East of England,39
PF0000044/43,0,110,F,PF0000044,55,55,01/09/1992,31/08/2022,Standard International,16359,GALLOWAY EUROPEAN COACHLINES LTD,,"MENDLESHAM, DENTERS HILL, STOWMARKET, IP14 5RR, GB",Mendlesham - Community Centre,"Ipswich, Old Cattle Market","Claydon, Bramford",01/02/2014,31/01/2014,,Monday to Saturday,Valid,Registered,"From: Mendlesham - Community Centre
To: Ipswich, Old Cattle Market
Via: Claydon, Bramford
Name or No: 110
Service Type: Normal Stopping
Effective Date: 01-Feb-2014
Other Details: Monday to Saturday",Normal Stopping,Yes,No,,Suffolk County Council,East of England,43
PF0000044/45,1,459,F,PF0000044,55,55,01/09/1992,31/08/2022,Standard International,16359,GALLOWAY EUROPEAN COACHLINES LTD,,"MENDLESHAM, DENTERS HILL, STOWMARKET, IP14 5RR, GB","Bury Street, Stowmarket",Wickham Skieth,Mendlesham,12/09/2016,13/07/2016,,Variation to timetable,Valid,Registered,"Operating between Bury Street, Stowmarket and Wickham Skieth given service number 459 effective from 12-Sep-2016. To amend Timetable.",Normal Stopping,NO,No,,Suffolk County Council,East of England,45
PF0000044/46,1,115,F,PF0000044,55,55,01/09/1992,31/08/2022,Standard International,16359,GALLOWAY EUROPEAN COACHLINES LTD,,"MENDLESHAM, DENTERS HILL, STOWMARKET, IP14 5RR, GB","Kings Head, Mendlesham",Ipswich Railway Station,"Debenham, Coddenham",06/06/2016,04/04/2016,,Variation to timetable,Valid,Registered,"Operating between Kings Head, Mendlesham and Ipswich Railway Station given service number 115 effective from 06-Jun-2016. To amend Timetable.",Normal Stopping,NO,Yes,Suffolk cc,Suffolk County Council,East of England,46
PF0000044/47,4,113,F,PF0000044,55,55,01/09/1992,31/08/2022,Standard International,16359,GALLOWAY EUROPEAN COACHLINES LTD,,"MENDLESHAM, DENTERS HILL, STOWMARKET, IP14 5RR, GB",Diss Bus Station,"Suffolk One College, Ipswich","Eye, Mendlesham, Debenham, Claydon",11/09/2017,04/09/2017,,Variation to timetable,Valid,Registered,"Operating between Diss Bus Station and Suffolk One College, Ipswich given service number 113 / 114 effective from 11 September 2017. To amend Route and Timetable.",Normal Stopping,Yes,Yes,Suffolk cc,Suffolk County Council,East of England,47
PF0000044/48,2,386,F,PF0000044,55,55,01/09/1992,31/08/2022,Standard International,16359,GALLOWAY EUROPEAN COACHLINES LTD,,"MENDLESHAM, DENTERS HILL, STOWMARKET, IP14 5RR, GB","Bury Street, Stowmarket",Bury St Edmunds,"Rattlesden, Felsham, Roughay",26/09/2016,23/09/2016,,Variation to timetable due to road closure,Valid,Registered,"Operating between Bury Street, Stowmarket and Bury St Edmunds given service number 386 effective from 26-Sep-2016. To amend Timetable.",Normal Stopping,Yes,Yes,Suffolk County Council,Suffolk County Council,East of England,48
PF0000050/34,7,88,F,PF0000050,110,110,01/11/1995,31/10/2020,Standard National,16362,HEDINGHAM AND DISTRICT OMNIBUSES LTD,HEDINGHAM OMNIBUSES,"PEARTREE ROAD, DUGARD HOUSE, STANWAY, COLCHESTER, CO3 0UL, GB",Colchester,Halstead,,04/06/2017,07/04/2017,,"Variation to timetable, stopping places and route",Valid,Registered,"Operating between Colchester and Halstead given service number 88 effective from 04 June 2017. To amend Route, Stopping Places and Timetable.",Normal Stopping,NO,No,,Essex County Council,East of England,34
PF0000050/35,20,89,F,PF0000050,110,110,01/11/1995,31/10/2020,Standard National,16362,HEDINGHAM AND DISTRICT OMNIBUSES LTD,HEDINGHAM OMNIBUSES,"PEARTREE ROAD, DUGARD HOUSE, STANWAY, COLCHESTER, CO3 0UL, GB","great Yeldham, The Green",Braintree Rail Station,"The Hedinghams, Halstead",08/01/2017,11/11/2016,,"Route Description, stopping places and timetable amendment",Valid,Registered,"Operating between great Yeldham, The Green and Braintree Rail Station given service number 89 / 89A effective from 08 January 2017. To amend Route, Stopping Places and Timetable.",Normal Stopping,NO,No,,Essex County Council,East of England,35
PF0000050/37,15,95A,F,PF0000050,110,110,01/11/1995,31/10/2020,Standard National,16362,HEDINGHAM AND DISTRICT OMNIBUSES LTD,HEDINGHAM OMNIBUSES,"PEARTREE ROAD, DUGARD HOUSE, STANWAY, COLCHESTER, CO3 0UL, GB",Tollesbury,Maldon,Heybridge,27/08/2017,30/06/2017,,Saturday service introduced,Valid,Registered,Operating between Tollesbury and Maldon given service number 95A / 95 effective from 27 August 2017. To amend Timetable.,Normal Stopping,NO,Yes,ESSEX CC,Essex County Council,East of England,37
